epoch,train_loss,train_macro_f1,train_accuracy,lr_early_backbone,lr_late_backbone,lr_head
1,1.2320404043366258,0.43579925882714426,0.5638506876227898,1e-05,5e-05,0.0005
2,0.705936631191456,0.7760297231389092,0.8506876227897839,9.62320368593087e-06,4.810079433615661e-05,0.00048097368915119617
3,0.4851477525557422,0.9028205999292332,0.9489194499017681,8.55017856687341e-06,4.2692314190604364e-05,0.0004267913399575776
4,0.38939981505069843,0.9627367996575306,0.9842829076620825,6.9442829902071945e-06,3.4597951637508996e-05,0.00034570172391965427
5,0.3544159206636762,0.9849314634847216,0.9941060903732809,5.05e-06,2.505e-05,0.00025005000000000003
6,0.32424078501160813,0.9984102863817146,0.9980353634577603,3.1557170097928058e-06,1.550204836249101e-05,0.00015439827608034585
7,0.321193256230626,0.993241340466956,0.9980353634577603,1.54982143312659e-06,7.40768580939564e-06,7.330866004242248e-05
8,0.31349688534183917,0.999999999999482,1.0,4.767963140691307e-07,1.999205663843396e-06,1.9126310848803884e-05
